1448,MarketStatusChange,0,1,[1,{0,1110499,1704420077105972017,1,0,0,1,,,,0,1,,,}]
2730,MarketStatusChange,0,1,[1,{0,1110499,1704432600005061576,2,0,0,1,,,,3,1,,,}]
3160,MarketStatusChange,0,1,[1,{0,1110499,1704436200003603377,3,0,0,1,4,,,1,1,,,}]
102983,MarketStatusChange,0,1,[1,{0,1110499,1704441624075058203,4,0,3,1,4,,,1,1,,,}]
103018,MarketStatusChange,0,1,[1,{0,1110499,1704441624075058203,5,0,3,2,4,,,1,1,,,}]
12877873,MarketStatusChange,0,1,[1,{0,1110499,1704472200006939762,3,0,0,3,4,,,1,1,,,}]
12967134,MarketStatusChange,0,1,[1,{0,1110499,1704472513416868744,4,0,3,3,4,,,1,1,,,}]
12967163,MarketStatusChange,0,1,[1,{0,1110499,1704472513416868744,5,0,5,2,4,,,1,1,,,}]
12985258,MarketStatusChange,0,1,[1,{0,1110499,1704472800015020169,2,0,0,3,,,,3,1,,,}]
12985797,MarketStatusChange,0,1,[1,{2,1110499,1704473700008220089,2,0,0,3,,,,3,1,16,,}]
12986222,MarketStatusChange,0,1,[1,{0,1110499,1704474000006877923,1,0,0,3,,,,0,1,,,}]
